기간,연료단가,,,,,열량단가,,,,,연료비단가,,,,
,원자력,유연탄,무연탄,유류,LNG,원자력,유연탄,무연탄,유류,LNG,원자력,유연탄,무연탄,유류,LNG
,원/kWh,원/ton,원/ton,원/kl,원/ton,원/Gcal,원/Gcal,원/Gcal,원/Gcal,원/Gcal,원/kWh,원/kWh,원/kWh,원/kWh,원/kWh
2018/12,5.847,140694.296,185557.605,740967.73,827983.687,2358.06,25876.43,27495.52,73126.38,64527.96,5.85,58.48,69.21,191.81,114.05
2018/11,5.844,140103.67,178322.55,735055.293,773508.071,2356.91,25961.04,24404.78,72274.12,62058.44,5.844,58.125,63.367,188.669,107.953
2018/10,5.8428,138921.3905,188445.1388,724956.2971,748848.0691,2356.2762,25593.478,26126.1276,70384.0976,59419.453,5.8428,57.3267,67.7609,184.5094,103.3931
2018/09,5.84,133207.25,183501.03,680428.08,705924.58,2353.8,24428.19,23931.93,66412.83,57228.25,5.84,54.72,61.95,172.22,99.59
2018/08,5.84,133781.25,184009.49,621191.32,694954.2,2354.05,24541.66,24041.91,61131.7,53747.28,5.84,54.96,62.36,160.62,93.54
2018/07,5.83064771,133519.5893,179200.3262,618752.8109,693144.5301,2351.634142,24719.03254,25345.22085,60899.61249,52790.86208,5.83064771,55.34745165,65.5089353,160.3529184,91.93574925
2018/06,5.859746488,130454.7146,184055.108,619864.8715,686724.2468,2355.639885,24104.17139,25611.9368,60227.98156,52843.24049,5.859746488,53.96533843,66.17727511,158.8161287,91.92520696
2018/05,5.861773087,130849.4934,183989.8495,623139.5676,750117.2641,2356.482178,24162.07408,24648.44204,60639.39675,51097.4951,5.8617730866,54.09520806741,63.76071775657,159.16155426689,88.96661057836
2018/04,5.86341592,125732.0046,188748.9142,624198.0267,756749.9324,2357.11889,23252.86579,24908.28536,60637.41679,52760.09272,5.86341592,52.08339934,64.4536106,159.2988036,91.94016424
2018/03,5.853670573,126152.3878,193676.5437,611081.5835,704624.6335,2353.156153,23426.05833,24674.38349,59042.55043,59492.6969,5.853670573,52.43456307,63.86707666,155.9873566,103.5670809
2018/02,5.824214636,120948.3798,187927.0341,564152.8183,697592.9962,2341.239002,22389.76926,24665.6371,54756.24073,53806.69818,5.824214636,50.09773327,63.96301103,145.5297202,93.67438334
2018/01,5.82086519,122037.994,179267.2822,530244.1388,617797.3117,2339.576079,22522.69159,25239.80571,51255.53049,53941.41104,5.82086519,50.43366845,65.31283667,137.8834089,93.886203
2017/12,5.81,119179.58,173735.85,526056.49,625549.32,2334.92,22028.26,23023.01,50778.76,52288.92,5.81,49.32,59.42,136.76,91.34
2017/11,5.79,125875.67,179140.63,523792.75,612100.43,2326.81,21411.78,24656.3,50541.43,47989.9,5.79,47.95,63.48,135.99,83.84
2017/10,5.76,125313.7,174648.35,520931.53,619608.48,2316.16,20958.78,24848.13,50282.04,48097.25,5.76,46.94,64.11,135.41,84.08
2017/09,5.74,130668.04,174717.11,533757.18,606362.07,2307.77,21858.42,20649.78,51769.24,47356.01,5.74,48.94,53.38,138.41,82.81
2017/08,5.72,130624.74,174882.84,544730.17,594980.08,2299.33,21564.16,21773.85,52975.6,46404.06,5.72,48.29,56.13,141,81.15
2017/07,5.71,130300.79,177092.35,546434.17,644946.93,2294.11,21785.81,24609.97,53214.89,45601,5.71,48.74,66.31,141.55,78.73
