일자,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,가중평균
"2016-12-29",KOC,"18,900",0,"0.00","0","0","0","0","0","0"
"2016-12-28",KOC,"18,900",0,"0.00","0","0","0","0","0","0"
"2016-12-27",KOC,"18,900",0,"0.00","0","0","0","0","0","0"
"2016-12-26",KOC,"18,900",0,"0.00","0","0","0","0","0","0"
"2016-12-23",KOC,"18,900",0,"0.00","0","0","0","0","0","0"
"2016-12-22",KOC,"18,900",0,"0.00","0","0","0","0","0","0"
"2016-12-21",KOC,"18,900",0,"0.00","0","0","0","0","0","0"
"2016-12-20",KOC,"18,900",0,"0.00","0","0","0","0","0","0"
"2016-12-19",KOC,"18,900",0,"0.00","0","0","0","0","0","0"
"2016-12-16",KOC,"18,900",0,"0.00","0","0","0","0","0","0"
"2016-12-15",KOC,"18,900",0,"0.00","0","0","0","0","0","0"
"2016-12-14",KOC,"18,900",0,"0.00","0","0","0","0","0","0"
"2016-12-13",KOC,"18,900",0,"0.00","0","0","0","0","0","0"
"2016-12-12",KOC,"18,900",0,"0.00","0","0","0","0","0","0"
"2016-12-09",KOC,"18,900",0,"0.00","0","0","0","0","0","0"
"2016-12-08",KOC,"18,900",100,"0.53","18,900","18,900","18,900","3,000","56,700,000","18,900"
"2016-12-07",KOC,"18,800",0,"0.00","0","0","0","0","0","0"
"2016-12-06",KOC,"18,800",100,"0.53","0","0","0","0","0","0"
"2016-12-05",KOC,"18,700",0,"0.00","0","0","0","0","0","0"
"2016-12-02",KOC,"18,700",0,"0.00","0","0","0","0","0","0"
"2016-12-01",KOC,"18,700",0,"0.00","0","0","0","0","0","0"
"2016-11-30",KOC,"18,700",0,"0.00","0","0","0","0","0","0"
"2016-11-29",KOC,"18,700",0,"0.00","0","0","0","0","0","0"
"2016-11-28",KOC,"18,700",0,"0.00","0","0","0","0","0","0"
"2016-11-25",KOC,"18,700",0,"0.00","18,700","18,700","18,700","4,000","74,800,000","18,700"
"2016-11-24",KOC,"18,700",0,"0.00","0","0","0","0","0","0"
"2016-11-23",KOC,"18,700",0,"0.00","0","0","0","0","0","0"
"2016-11-22",KOC,"18,700",0,"0.00","0","0","0","0","0","0"
"2016-11-21",KOC,"18,700",200,"1.08","18,700","18,700","18,700","4,000","74,800,000","18,700"
"2016-11-18",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-11-17",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-11-16",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-11-15",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-11-14",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-11-11",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-11-10",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-11-09",KOC,"18,500",400,"2.21","18,500","18,500","18,500","106,913","1,977,890,500","18,500"
"2016-11-08",KOC,"18,100",0,"0.00","0","0","0","0","0","0"
"2016-11-07",KOC,"18,100",0,"0.00","0","0","0","0","0","0"
"2016-11-04",KOC,"18,100",0,"0.00","0","0","0","0","0","0"
"2016-11-03",KOC,"18,100",0,"0.00","0","0","0","0","0","0"
"2016-11-02",KOC,"18,100",0,"0.00","0","0","0","0","0","0"
"2016-11-01",KOC,"18,100",0,"0.00","0","0","0","0","0","0"
"2016-10-31",KOC,"18,100",0,"0.00","0","0","0","0","0","0"
"2016-10-28",KOC,"18,100",0,"0.00","0","0","0","0","0","0"
"2016-10-27",KOC,"18,100",0,"0.00","18,100","18,100","18,100","100,000","1,810,000,000","18,100"
"2016-10-26",KOC,"18,100",0,"0.00","0","0","0","0","0","0"
"2016-10-25",KOC,"18,100",0,"0.00","18,100","18,100","18,100","100,000","1,810,000,000","18,100"
"2016-10-24",KOC,"18,100",0,"0.00","0","0","0","0","0","0"
"2016-10-21",KOC,"18,100",0,"0.00","0","0","0","0","0","0"
"2016-10-20",KOC,"18,100",0,"0.00","0","0","0","0","0","0"
"2016-10-19",KOC,"18,100",0,"0.00","0","0","0","0","0","0"
"2016-10-18",KOC,"18,100",100,"0.56","18,100","18,100","18,100","10,000","181,000,000","18,100"
"2016-10-17",KOC,"18,000",0,"0.00","18,000","18,000","18,000","50,000","900,000,000","18,000"
"2016-10-14",KOC,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-10-13",KOC,"18,000",0,"0.00","18,000","18,000","18,000","30,000","540,000,000","18,000"
"2016-10-12",KOC,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-10-11",KOC,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-10-10",KOC,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-10-07",KOC,"18,000",0,"0.00","18,000","18,000","18,000","50,000","900,000,000","18,000"
"2016-10-06",KOC,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-10-05",KOC,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-10-04",KOC,"18,000",0,"0.00","18,000","18,000","18,000","1,496","26,928,000","18,000"
"2016-09-30",KOC,"18,000",0,"0.00","18,000","18,000","18,000","80,000","1,440,000,000","18,000"
"2016-09-29",KOC,"18,000",0,"0.00","18,000","18,000","18,000","100,000","1,800,000,000","18,000"
"2016-09-28",KOC,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-09-27",KOC,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-09-26",KOC,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-09-23",KOC,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-09-22",KOC,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-09-21",KOC,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-09-20",KOC,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-09-19",KOC,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-09-13",KOC,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-09-12",KOC,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-09-09",KOC,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-09-08",KOC,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-09-07",KOC,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-09-06",KOC,"18,000",1000,"5.88","18,000","18,000","18,000","20,000","360,000,000","18,000"
"2016-09-05",KOC,"17,000",0,"0.00","0","0","0","0","0","0"
"2016-09-02",KOC,"17,000",0,"0.00","0","0","0","0","0","0"
"2016-09-01",KOC,"17,000",0,"0.00","0","0","0","0","0","0"
"2016-08-31",KOC,"17,000",0,"0.00","0","0","0","0","0","0"
"2016-08-30",KOC,"17,000",0,"0.00","0","0","0","0","0","0"
"2016-08-29",KOC,"17,000",0,"0.00","0","0","0","0","0","0"
"2016-08-26",KOC,"17,000",500,"3.03","0","0","0","0","0","0"
"2016-08-25",KOC,"16,500",1500,"10.00","0","0","0","0","0","0"
"2016-08-24",KOC,"15,000",-1650,"-9.91","0","0","0","0","0","0"
"2016-08-23",KOC,"16,650",0,"0.00","0","0","0","0","0","0"
"2016-08-22",KOC,"16,650",-1850,"-10.00","0","0","0","0","0","0"
"2016-08-19",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-08-18",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-08-17",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-08-16",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-08-12",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-08-11",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-08-10",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-08-09",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-08-08",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-08-05",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-08-04",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-08-03",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-08-02",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
