일자,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,가중평균
"2018-08-09",KAU17,"21,600",0,"0.00","21,600","21,600","21,600","850","18,360,000","21,600"
"2018-08-08",KAU17,"21,600",0,"0.00","0","0","0","4,839","104,522,400","21,600"
"2018-08-07",KAU17,"21,600",-100,"-0.46","21,500","21,700","21,500","61,445","1,329,328,700","21,634"
"2018-08-06",KAU17,"21,700",0,"0.00","22,600","22,600","21,700","17,981","392,269,800","21,816"
"2018-08-03",KAU17,"21,700",0,"0.00","21,700","21,700","21,700","20,533","445,566,100","21,700"
"2018-08-02",KAU17,"21,700",-300,"-1.36","23,000","23,000","21,700","2,945","64,611,000","21,939"
"2018-08-01",KAU17,"22,000",-500,"-2.22","22,000","22,000","22,000","868","19,096,000","22,000"
"2018-07-31",KAU17,"22,500",-200,"-0.88","22,500","22,700","22,500","57,150","1,262,433,000","22,090"
"2018-07-30",KAU17,"22,700",0,"0.00","22,700","22,700","22,700","14,062","319,207,400","22,700"
"2018-07-27",KAU17,"22,700",0,"0.00","0","0","0","0","0","0"
"2018-07-26",KAU17,"22,700",0,"0.00","0","0","0","0","0","0"
"2018-07-25",KAU17,"22,700",0,"0.00","22,700","22,700","22,700","10,420","236,534,000","22,700"
"2018-07-24",KAU17,"22,700",0,"0.00","22,700","22,700","22,700","4,744","107,688,800","22,700"
"2018-07-23",KAU17,"22,700",0,"0.00","22,700","22,700","22,700","8,643","196,196,100","22,700"
"2018-07-20",KAU17,"22,700",0,"0.00","22,700","22,700","22,700","12,000","272,400,000","22,700"
"2018-07-19",KAU17,"22,700",0,"0.00","22,700","22,700","22,700","12,000","272,400,000","22,700"
"2018-07-18",KAU17,"22,700",-2500,"-9.92","23,000","23,000","22,700","6,000","136,500,000","22,750"
"2018-07-17",KAU17,"25,200",-2800,"-10.00","25,200","25,200","25,200","20,000","504,000,000","25,200"
"2018-07-16",KAU17,"28,000",0,"0.00","0","0","0","19,960","558,880,000","28,000"
"2018-07-13",KAU17,"28,000",0,"0.00","0","0","0","0","0","0"
