일자,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,가중평균
"2018-12-28",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-12-27",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-12-26",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-12-24",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-12-21",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-12-20",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-12-19",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-12-18",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-12-17",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-12-14",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-12-13",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-12-12",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-12-11",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-12-10",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-12-07",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-12-06",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-12-05",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-12-04",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-12-03",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-11-30",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-11-29",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-11-28",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-11-27",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-11-26",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-11-23",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-11-22",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-11-21",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-11-20",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-11-19",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-11-16",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-11-15",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-11-14",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-11-13",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-11-12",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-11-09",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-11-08",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-11-07",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-11-06",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-11-05",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-11-02",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-11-01",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-10-31",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-10-30",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-10-29",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-10-26",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-10-25",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-10-24",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-10-23",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-10-22",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-10-19",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-10-18",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-10-17",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-10-16",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-10-15",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-10-12",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-10-11",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-10-10",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-10-08",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-10-05",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-10-04",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-10-02",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-10-01",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-09-28",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-09-27",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-09-21",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-09-20",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-09-19",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-09-18",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-09-17",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-09-14",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-09-13",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-09-12",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-09-11",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-09-10",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-09-07",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-09-06",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-09-05",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-09-04",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-09-03",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-08-31",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-08-30",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-08-29",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-08-28",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-08-27",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-08-24",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-08-23",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-08-22",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-08-21",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-08-20",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-08-17",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-08-16",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-08-14",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-08-13",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-08-10",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-08-09",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-08-08",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-08-07",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-08-06",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-08-03",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-08-02",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-08-01",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-07-31",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-07-30",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-07-27",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-07-26",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-07-25",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-07-24",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-07-23",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-07-20",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-07-19",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
